class,recall,precision,auc
combined_overall,1.0,0.4097109691905231,0.9997921643691128
combined_overall,1.0,0.40972615725172246,0.9997921643691128
combined_overall,1.0,0.4097391764861644,0.9997921643691128
combined_overall,1.0,0.4097500264802457,0.9997921643691128
combined_overall,1.0,0.4097728133383119,0.9997921643691128
combined_overall,1.0,0.4097869207586744,0.9997921643691128
combined_overall,1.0,0.4098021144515774,0.9997921643691128
combined_overall,1.0,0.409808626379156,0.9997921643691128
combined_overall,1.0,0.4098205654505727,0.9997921643691128
combined_overall,1.0,0.40983467615914737,0.9997921643691128
combined_overall,1.0,0.40985313009045277,0.9997921643691128
combined_overall,1.0,0.4098694143511774,0.9997921643691128
combined_overall,1.0,0.40988244269147434,0.9997921643691128
combined_overall,1.0,0.40989330027443127,0.9997921643691128
combined_overall,1.0,0.4099117594856566,0.9997921643691128
combined_overall,1.0,0.40992153268235304,0.9997921643691128
combined_overall,1.0,0.4099334783334349,0.9997921643691128
combined_overall,1.0,0.4099432525658212,0.9997921643691128
combined_overall,1.0,0.40995302726432165,0.9997921643691128
combined_overall,1.0,0.4099595439889574,0.9997921643691128
combined_overall,1.0,0.409970405657103,0.9997921643691128
combined_overall,1.0,0.4099845266861673,0.9997921643691128
combined_overall,1.0,0.40999321703372404,0.9997921643691128
combined_overall,1.0,0.40999864868803504,0.9997921643691128
combined_overall,1.0,0.41000733963429015,0.9997921643691128
combined_overall,1.0,0.4100192902870225,0.9997921643691128
combined_overall,1.0,0.410032328157295,0.9997921643691128
combined_overall,1.0,0.41004645345247465,0.9997921643691128
combined_overall,1.0,0.410056233073103,0.9997921643691128
combined_overall,1.0,0.41006275307935297,0.9997921643691128
combined_overall,1.0,0.41007470696266773,0.9997921643691128
combined_overall,1.0,0.4100855747341194,0.9997921643691128
combined_overall,1.0,0.41009644308162013,0.9997921643691128
combined_overall,1.0,0.4101181815049523,0.9997921643691128
combined_overall,1.0,0.4101236164708876,0.9997921643691128
combined_overall,1.0,0.41013231271601536,0.9997921643691128
combined_overall,1.0,0.41015514211420556,0.9997921643691128
combined_overall,1.0,0.41016166526622155,0.9997921643691128
combined_overall,1.0,0.41017253764734884,0.9997921643691128
combined_overall,1.0,0.4101812359672678,0.9997921643691128
combined_overall,1.0,0.41018775994931567,0.9997921643691128
combined_overall,1.0,0.4101953715240039,0.9997921643691128
combined_overall,1.0,0.41020407081241284,0.9997921643691128
combined_overall,1.0,0.4102105955208687,0.9997921643691128
combined_overall,1.0,0.4102171204368919,0.9997921643691128
combined_overall,1.0,0.41022799575821844,0.9997921643691128
combined_overall,1.0,0.41023778404044636,0.9997921643691128
combined_overall,1.0,0.41025301118572977,0.9997921643691128
combined_overall,1.0,0.410268239461453,0.9997921643691128
combined_overall,1.0,0.4102802053283557,0.9997921643691128
combined_overall,1.0,0.4102889082154296,0.9997921643691128
combined_overall,1.0,0.41032154733051546,0.9997921643691128
combined_overall,1.0,0.410329163871262,0.9997921643691128
combined_overall,1.0,0.4103346044306315,0.9997921643691128
combined_overall,1.0,0.4103498387644263,0.9997921643691128
combined_overall,1.0,0.4103661625202547,0.9997921643691128
combined_overall,1.0,0.41038031082586324,0.9997921643691128
combined_overall,1.0,0.41039010637818224,0.9997921643691128
combined_overall,1.0,0.41039990239814134,0.9997921643691128
combined_overall,1.0,0.4104151415809966,0.9997921643691128
combined_overall,1.0,0.4104303818956325,0.9997921643691128
combined_overall,1.0,0.4104358251394529,0.9997921643691128
combined_overall,1.0,0.4104434459233638,0.9997921643691128
combined_overall,1.0,0.4104543332484509,0.9997921643691128
combined_overall,1.0,0.4104608659207504,0.9997921643691128
combined_overall,1.0,0.4104684876345897,0.9997921643691128
combined_overall,1.0,0.41047175417002674,0.9997921643691128
combined_overall,1.0,0.4104815540882889,0.9997921643691128
combined_overall,1.0,0.41050006632179337,0.9997921643691128
combined_overall,1.0,0.4105076894915146,0.9997921643691128
combined_overall,1.0,0.41051422386234304,0.9997921643691128
combined_overall,1.0,0.4105207584412001,0.9997921643691128
combined_overall,1.0,0.41052620408249896,0.9997921643691128
combined_overall,1.0,0.41053600660092276,0.9997921643691128
combined_overall,1.0,0.41054798809252174,0.9997921643691128
combined_overall,1.0,0.4105556130422209,0.9997921643691128
combined_overall,1.0,0.41056432761726863,0.9997921643691128
combined_overall,1.0,0.41057195317392087,0.9997921643691128
combined_overall,1.0,0.410599189617337,0.9997921643691128
combined_overall,1.0,0.4106155332179894,0.9997921643691128
combined_overall,1.0,0.41062534000291906,0.9997921643691128
