ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection
135,"1-[3-[4-[[4-[2-[3-[[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino]pyrrolidin-1-yl]ethyl]piperazin-1-yl]methyl]piperidin-1-yl]phenyl]pyrimidine-2,4-dione",O=c1ccn(-c2cccc(N3CCC(CN4CCN(CCN5CCC(Nc6ncc(Cl)c(-c7c[nH]c8ccccc78)n6)C5)CC4)CC3)c2)c(=O)[nH]1,C38H45ClN10O2,,169752714.0,level 2b,2,0.0103,18,0.1277,0,4.4250555e-06,0,0.035074994,0,0,0,0.5280898876404494,Pharmaceuticals,1,1
166,"6-[2-chloro-4-(3-methylpyrazin-2-yl)phenyl]-2-methylsulfinyl-8-(pyridin-3-ylmethyl)pyrido[2,3-d]pyrimidin-7-one",Cc1nccnc1-c1ccc(-c2cc3cnc(S(C)=O)nc3n(Cc3cccnc3)c2=O)c(Cl)c1,C25H19ClN6O2S,,89551457.0,level 2b,72,0.3711,122,0.8652,1,0.26146975,0,0.016987473,0,1,0,0.3037974683544304,Industry and consumer goods,1,1
174,"(1R,3aR,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-3a-[2-[2-[4-[(3-chlorophenyl)methyl]piperazin-1-yl]ethylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-ol",C=C(C)[C@@H]1CC[C@]2(CCNCCN3CCN(Cc4cccc(Cl)c4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C44H70ClN3O,,166707869.0,level 3,3,0.0155,86,0.6099,1,0.9297043,1,0.9039149,1,1,0,0.5432098765432098,Industry and consumer goods,1,1
193,"4-O-[3a-[(E)-3-[1-(5-chlorocyclohexa-1,5-dien-1-yl)ethylamino]-3-oxoprop-1-enyl]-5b,8,8,11a-tetramethyl-1-propan-2-yl-3,4,5,5a,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydro-2H-cyclopenta[a]chrysen-9-yl] 1-O-tert-butyl 2,2-dimethylbutanedioate",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)(C)C(OC(=O)CC(C)(C)C(=O)OC(C)(C)C)CCC54C)C3CCC2(/C=C/C(=O)NC(C)C2=CCCC(Cl)=C2)CC1,C49H74ClNO5,,145595830.0,level 3,12,0.0619,117,0.8298,1,0.93496895,1,0.9072591,1,1,0,0.2869565217391304,Pharmaceuticals,1,1
222,[2-[bis(2-chloroethyl)carbamoyloxy]-3-octadec-9-enoyloxypropyl] octadec-9-enoate,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)N(CCCl)CCCl,C44H79Cl2NO6,,356948.0,level 3,59,0.3041,105,0.7447,0,1.0092982e-06,0,0.000897311,0,0,0,0.6888888888888889,Pharmaceuticals,1,1
293,"4-[[3a-[2-[[(3E)-4-chloro-2-methylidenehexa-3,5-dienyl]amino]ethyl]-5b,8,11a-trimethyl-2-oxo-1-propan-2-yl-4,5,5a,6,7,7a,8,9,10,11,11b,12,13,13a-tetradecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",C=C/C(Cl)=C\C(=C)CNCCC12CCC3C(CCC4C3(C)CCC3C(C)C(OC(=O)CC(C)(C)C(=O)O)CCC34C)C1=C(C(C)C)C(=O)C2,C42H62ClNO5,,145595516.0,level 3,10,0.0515,72,0.5106,1,0.56592107,1,0.75265837,1,1,0,0.2882882882882883,Pharmaceuticals,1,1
301,"[3-[2-chloro-5-[(3,4,5-trifluorophenyl)carbamoyl]phenyl]sulfanyl-2-methylpropyl] acetate",CC(=O)OCC(C)CSc1cc(C(=O)Nc2cc(F)c(F)c(F)c2)ccc1Cl,C19H17ClF3NO3S,,167246610.0,level 3,1,0.0052,19,0.1348,0,0.42721292,0,0.5542269,1,1,0,0.3559322033898305,Industry and consumer goods,1,1
309,"4-[[3a-[2-[(4-chlorophenyl)methylamino]-1-hydroxyethyl]-5b,8,8,11a-tetramethyl-1-propan-2-yl-3,4,5,5a,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydro-2H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)(C)C(OC(=O)CC(C)(C)C(=O)O)CCC54C)C3CCC2(C(O)CNCc2ccc(Cl)cc2)CC1,C43H64ClNO5,,123846393.0,level 3,12,0.0619,62,0.4397,0,0.82880914,1,0.8904599,1,1,0,0.3627450980392157,Pharmaceuticals,1,1
313,"4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[2-[(4-chlorophenyl)methyl-methylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CCN(C)Cc2ccc(Cl)cc2)CC1=O,C45H66ClNO5,,71614540.0,level 3,35,0.1804,100,0.7092,0,0.7319327,1,0.76754165,1,1,0,0.4375,Pharmaceuticals,1,1
316,"cis-(1R,3S)-3-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[2-[(4-chlorophenyl)methylamino]ethyl]-2-hydroxy-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydrocyclopenta[a]chrysen-9-yl]oxycarbonyl]-2,2-dimethylcyclobutane-1-carboxylic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H]6C[C@@H](C(=O)O)C6(C)C)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CCNCc2ccc(Cl)cc2)CC1O,C46H68ClNO5,,130199292.0,level 3,93,0.4794,42,0.2979,0,0.8258404,1,0.9038678,1,1,0,0.3113207547169811,Pharmaceuticals,1,1
