ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection,Plasma_mean,Seafood_mean,Factor
49,"1-[5-[(3,5-dichloro-4-pyridinyl)sulfanyl]-4-nitrothiophen-2-yl]-2-(3-methyl-1,1-dioxo-2,3-dihydro-1-benzothiophen-6-yl)ethanone",CC1CS(=O)(=O)c2cc(CC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)ccc21,C20H14Cl2N2O5S3,,161820446,level 2b,4,0.0206,18,0.1277,0,0.63261336,1,0.34759352,0,1,0,0.3086419753086419,Transformation and metabolic products,1,1,609437.0833333334,2073014.264199656,0.293985957
57,"[(3S,8S,9S,10R,14R,17R)-17-[5-[bis(2-chloroethyl)carbamoyloxy]pentan-2-yl]-10-methyl-1,2,3,4,7,8,9,11,12,13,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl] (Z)-nonadec-10-enoate",CCCCCCCC/C=C\CCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)CCCOC(=O)N(CCCl)CCCl)C4CC[C@@H]32)C1,C47H79Cl2NO4,,56664834,level 2b,75,0.3866,138,0.9787,1,0.5743634,1,0.69472474,1,1,1,0.6136363636363636,Personal care products,1,0,716355.8888888889,6830824.682563091,0.104871069
60,2-chloro-N-[4-[(2-chloroacetyl)-hexadecylamino]phenyl]-N-hexadecylacetamide,CCCCCCCCCCCCCCCCN(C(=O)CCl)c1ccc(N(CCCCCCCCCCCCCCCC)C(=O)CCl)cc1,C42H74Cl2N2O2,,118349716,level 2b,134,0.6907,72,0.5106,1,0.00140859,0,0.001003883,0,1,0,0.5277777777777778,Transformation and metabolic products,1,1,1550604.502487562,132603.2306378275,11.69356504
66,"(4R)-N-[3-(1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalen-2-yl)-1-[(2-chlorocyclohexyl)methyl-methylamino]-1-oxopropan-2-yl]-1-[3-[[ethyl(methyl)amino]methyl]adamantane-1-carbonyl]-4-hydroxypyrrolidine-2-carboxamide",CCN(C)CC12CC3CC(C1)CC(C(=O)N1C[C@H](O)CC1C(=O)NC(CC1CCC4CCCCC4C1)C(=O)N(C)CC1CCCCC1Cl)(C3)C2,C41H67ClN4O4,,145812436,level 2b,2,0.0103,141,1,1,0.6815649,1,0.5685289,1,1,0,0.2523364485981308,Pharmaceuticals,1,1,584656.6666666667,268216278.8477478,0.002179796
80,"pentakis(2,2,2-trichloroethoxy)-lambda5-phosphane",ClC(Cl)(Cl)COP(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,C10H10Cl15O5P,,12486606,level 2b,4,0.0206,63,0.4468,0,0.9956291,1,0.95381963,1,1,0,0.4444444444444444,Industry and consumer goods,1,1,1179304.1666666667,306447.1329928507,3.848311959
89,"[4,4,4-trichloro-2-hydroxy-2-(3,4,5-tribromophenyl)butyl] 2,2-dibromoethanesulfonate",O=S(=O)(CC(Br)Br)OCC(O)(CC(Cl)(Cl)Cl)c1cc(Br)c(Br)c(Br)c1,C12H10Br5Cl3O4S,,21540643,level 2b,162,0.8351,137,0.9716,0,0.9856428,1,0.99779004,1,1,0,0.2777777777777778,Industry and consumer goods,1,1,100892284.845679,6011935.170333409,16.78199814
99,"4-[[3a-[2-[(2-chlorophenyl)methyl-methylamino]-1-hydroxyethyl]-5b,8,11a-trimethyl-2-oxo-1-propan-2-yl-4,5,5a,6,7,7a,8,9,10,11,11b,12,13,13a-tetradecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)C(OC(=O)CC(C)(C)C(=O)O)CCC54C)C3CCC2(C(O)CN(C)Cc2ccccc2Cl)CC1=O,C43H62ClNO6,,145595684,level 2b,3,0.0155,34,0.2411,0,0.57671523,1,0.709631,1,1,0,0.2666666666666666,Transformation and metabolic products,1,1,62903.333333333336,759993.72075167,0.082768228
103,"methyl (1S,3R,4S)-3-[(12R,17R,18S,19R)-19-carbamoyloxy-18-chloro-13,14,17-trihydroxy-6,12-dimethyl-15-oxotricosanoyl]oxy-4-hydroxycyclohexane-1-carboxylate",CCCC[C@@H](OC(N)=O)[C@@H](Cl)[C@H](O)CC(=O)C(O)C(O)[C@H](C)CCCCCC(C)CCCCC(=O)O[C@@H]1C[C@@H](C(=O)OC)CC[C@@H]1O,C34H60ClNO11,,11093703,level 2b,44,0.2268,23,0.1631,0,4.0570844e-06,0,0.010835674,0,0,0,0.3375,Industry and consumer goods,1,1,3443974.141,2594220.3038243824,1.327556544
135,"1-[3-[4-[[4-[2-[3-[[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino]pyrrolidin-1-yl]ethyl]piperazin-1-yl]methyl]piperidin-1-yl]phenyl]pyrimidine-2,4-dione",O=c1ccn(-c2cccc(N3CCC(CN4CCN(CCN5CCC(Nc6ncc(Cl)c(-c7c[nH]c8ccccc78)n6)C5)CC4)CC3)c2)c(=O)[nH]1,C38H45ClN10O2,,169752714,level 2b,2,0.0103,18,0.1277,0,4.4250555e-06,0,0.035074994,0,0,0,0.5280898876404494,Pharmaceuticals,1,1,592094.1666666667,540096.7039277577,1.096274357
166,"6-[2-chloro-4-(3-methylpyrazin-2-yl)phenyl]-2-methylsulfinyl-8-(pyridin-3-ylmethyl)pyrido[2,3-d]pyrimidin-7-one",Cc1nccnc1-c1ccc(-c2cc3cnc(S(C)=O)nc3n(Cc3cccnc3)c2=O)c(Cl)c1,C25H19ClN6O2S,,89551457,level 2b,72,0.3711,122,0.8652,1,0.26146975,0,0.016987473,0,1,0,0.3037974683544304,Industry and consumer goods,1,1,2716075.170009259,2729793.2492423058,0.994974682
174,"(1R,3aR,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-3a-[2-[2-[4-[(3-chlorophenyl)methyl]piperazin-1-yl]ethylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-ol",C=C(C)[C@@H]1CC[C@]2(CCNCCN3CCN(Cc4cccc(Cl)c4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,C44H70ClN3O,,166707869,level 3,3,0.0155,86,0.6099,1,0.9297043,1,0.9039149,1,1,0,0.5432098765432098,Industry and consumer goods,1,1,269797.7777777777,819494.8561095608,0.329224492
193,"4-O-[3a-[(E)-3-[1-(5-chlorocyclohexa-1,5-dien-1-yl)ethylamino]-3-oxoprop-1-enyl]-5b,8,8,11a-tetramethyl-1-propan-2-yl-3,4,5,5a,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydro-2H-cyclopenta[a]chrysen-9-yl] 1-O-tert-butyl 2,2-dimethylbutanedioate",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)(C)C(OC(=O)CC(C)(C)C(=O)OC(C)(C)C)CCC54C)C3CCC2(/C=C/C(=O)NC(C)C2=CCCC(Cl)=C2)CC1,C49H74ClNO5,,145595830,level 3,12,0.0619,117,0.8298,1,0.93496895,1,0.9072591,1,1,0,0.2869565217391304,Pharmaceuticals,1,1,560556.25,744726.916740948,0.752700403
222,[2-[bis(2-chloroethyl)carbamoyloxy]-3-octadec-9-enoyloxypropyl] octadec-9-enoate,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)N(CCCl)CCCl,C44H79Cl2NO6,,356948,level 3,59,0.3041,105,0.7447,0,1.0092982e-06,0,0.000897311,0,0,0,0.6888888888888889,Pharmaceuticals,1,1,481020.4802259887,893059.8355901303,0.538620662
293,"4-[[3a-[2-[[(3E)-4-chloro-2-methylidenehexa-3,5-dienyl]amino]ethyl]-5b,8,11a-trimethyl-2-oxo-1-propan-2-yl-4,5,5a,6,7,7a,8,9,10,11,11b,12,13,13a-tetradecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",C=C/C(Cl)=C\C(=C)CNCCC12CCC3C(CCC4C3(C)CCC3C(C)C(OC(=O)CC(C)(C)C(=O)O)CCC34C)C1=C(C(C)C)C(=O)C2,C42H62ClNO5,,145595516,level 3,10,0.0515,72,0.5106,1,0.56592107,1,0.75265837,1,1,0,0.2882882882882883,Pharmaceuticals,1,1,165925,656991.736682036,0.252552644
301,"[3-[2-chloro-5-[(3,4,5-trifluorophenyl)carbamoyl]phenyl]sulfanyl-2-methylpropyl] acetate",CC(=O)OCC(C)CSc1cc(C(=O)Nc2cc(F)c(F)c(F)c2)ccc1Cl,C19H17ClF3NO3S,,167246610,level 3,1,0.0052,19,0.1348,0,0.42721292,0,0.5542269,1,1,0,0.3559322033898305,Industry and consumer goods,1,1,251881.6666666667,226097.0706487143,1.11404215
309,"4-[[3a-[2-[(4-chlorophenyl)methylamino]-1-hydroxyethyl]-5b,8,8,11a-tetramethyl-1-propan-2-yl-3,4,5,5a,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydro-2H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2C3CCC4C(C)(CCC5C(C)(C)C(OC(=O)CC(C)(C)C(=O)O)CCC54C)C3CCC2(C(O)CNCc2ccc(Cl)cc2)CC1,C43H64ClNO5,,123846393,level 3,12,0.0619,62,0.4397,0,0.82880914,1,0.8904599,1,1,0,0.3627450980392157,Pharmaceuticals,1,1,357121.94444444444,3353211.5040983832,0.106501467
313,"4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[2-[(4-chlorophenyl)methyl-methylamino]ethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxobutanoic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CCN(C)Cc2ccc(Cl)cc2)CC1=O,C45H66ClNO5,,71614540,level 3,35,0.1804,100,0.7092,0,0.7319327,1,0.76754165,1,1,0,0.4375,Pharmaceuticals,1,1,205579.9047619048,3328078.403389744,0.061771353
316,"cis-(1R,3S)-3-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[2-[(4-chlorophenyl)methylamino]ethyl]-2-hydroxy-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydrocyclopenta[a]chrysen-9-yl]oxycarbonyl]-2,2-dimethylcyclobutane-1-carboxylic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H]6C[C@@H](C(=O)O)C6(C)C)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CCNCc2ccc(Cl)cc2)CC1O,C46H68ClNO5,,130199292,level 3,93,0.4794,42,0.2979,0,0.8258404,1,0.9038678,1,1,0,0.3113207547169811,Pharmaceuticals,1,1,239780.6989247312,2805180.6922135944,0.085477809
317,"cis-(1R,3S)-3-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[(1R)-2-[(3-chlorobenzoyl)amino]-1-hydroxyethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxycarbonyl]-2,2-dimethylcyclobutane-1-carboxylic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H]6C[C@@H](C(=O)O)C6(C)C)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2([C@@H](O)CNC(=O)c2cccc(Cl)c2)CC1=O,C46H64ClNO7,,134814902,level 3,1,0.0052,33,0.234,1,0.569608,1,0.76470876,1,1,0,0.2857142857142857,Pharmaceuticals,1,1,302273.3333333334,2315040.9232627987,0.130569326
318,"2-[2-[7-bromo-2-(2,2-dimethylpropyl)-2,3,3,4,6,7-hexamethyl-4-(2-methylpropyl)-6-[2-(trimethylazaniumyl)ethoxycarbonyl]octanoyl]oxyethoxy-hydroxyphosphoryl]oxyethyl-trimethylazanium",CC(C)CC(C)(CC(C)(C(=O)OCC[N+](C)(C)C)C(C)(C)Br)C(C)(C)C(C)(CC(C)(C)C)C(=O)OCCOP(=O)(O)OCC[N+](C)(C)C,C36H74BrN2O8P,,123825716,level 3,8,0.0412,40,0.2837,0,0.92402804,1,0.042558774,0,1,0,0.352112676056338,Pharmaceuticals,1,1,197175.2083333333,2328226.483028977,0.084689015
319,"(3S,4S)-2-[[3-[[(2-chloro-6-fluorophenyl)methyl-[(2S)-1-(dimethylamino)-4-methylpentan-2-yl]amino]methyl]phenyl]methyl]-4-[(1S)-1-hydroxyethyl]-N-[(1S,2S,3S,5R)-2,6,6-trimethyl-3-bicyclo[3.1.1]heptanyl]-1,2-oxazolidine-3-carboxamide",CC(C)C[C@@H](CN(C)C)N(Cc1cccc(CN2OC[C@@H]([C@H](C)O)[C@H]2C(=O)N[C@H]2C[C@H]3C[C@@H]([C@@H]2C)C3(C)C)c1)Cc1c(F)cccc1Cl,C39H58ClFN4O3,,163999738,level 3,55,0.2835,85,0.6028,1,0.9150202,1,0.09356347,0,1,0,0.2523364485981308,Pharmaceuticals,1,1,11867101.393939396,2205179.365379828,5.381467639
321,"N-[2-chloro-4-[(3,4-dichlorophenyl)sulfamoyl]phenyl]-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",CC(O)(C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl)C(F)(F)F,C16H12Cl3F3N2O4S,,17965746,level 3,112,0.5773,50,0.3546,0,0.978069,1,0.7039293,1,1,0,0.576271186440678,Pharmaceuticals,1,1,8552934.479166668,4821915.938342654,1.773762668
328,"N-[2-[[8-(chloroamino)-4-(ethylamino)octan-2-yl]amino]ethyl]-N-[[1-[2-[2-[(4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[6.4.0.02,6]dodecan-9-yl)oxy]ethoxy]ethyl]triazol-4-yl]methyl]butanamide",CCCC(=O)N(CCNC(C)CC(CCCCNCl)NCC)Cc1cn(CCOCCOC2OC(C)(C)OC3C2OC2OC(C)(C)OC23)nn1,C34H62ClN7O8,,174253460,level 3,32,0.1649,91,0.6454,0,0.001487984,0,0.023978218,0,0,0,0.2403846153846154,Transformation and metabolic products,1,1,282762.8645833334,5501650.9145322535,0.051396003
330,"methyl 4-[(Z)-2-(5-chloro-6-methyl-1H-indazol-4-yl)-1-fluoroethenyl]-6-[2-ethoxyethyl(ethyl)amino]-2-[[1-[2-(hydroxymethyl)pentyl]-3,4,5,6,7,7a-hexahydro-2H-cyclopenta[b]pyridin-4a-yl]methoxy]-N-methylpyrimidine-5-carboximidate",CCCC(CO)CN1CCCC2(COc3nc(/C(F)=C/c4c(Cl)c(C)cc5[nH]ncc45)c(C(=NC)OC)c(N(CC)CCOCC)n3)CCCC12,C38H55ClFN7O4,,176662652,level 3,6,0.0309,52,0.3688,1,0.006587162,0,0.014792752,0,1,0,0.2112676056338028,Industry and consumer goods,1,1,270676.38888888893,2089646.7546302413,0.129532127
