recall,precision
0.9976133651551312,0.2951977401129944
0.9976133651551312,0.2953020134228188
0.9976133651551312,0.2954063604240283
0.9976133651551312,0.2955107811947685
0.9976133651551312,0.2956152758132956
0.9976133651551312,0.29582448690728946
0.9976133651551312,0.295929203539823
0.9976133651551312,0.29603399433427763
0.9976133651551312,0.296243798724309
0.9976133651551312,0.29645390070921984
0.9976133651551312,0.29655906349769423
0.9976133651551312,0.2966643009226402
0.9976133651551312,0.29676961306354277
0.9976133651551312,0.296875
0.9976133651551312,0.29698046181172294
0.9976133651551312,0.2970859985785359
0.9976133651551312,0.29719161038037684
0.9976133651551312,0.2972972972972973
0.9976133651551312,0.2974030594094628
0.9976133651551312,0.29761480954076186
0.9976133651551312,0.29772079772079774
0.9976133651551312,0.29793300071275836
0.9976133651551312,0.29814550641940085
0.9976133651551312,0.29878484631879915
0.9976133651551312,0.29889166964604935
0.9976133651551312,0.2989985693848355
0.9976133651551312,0.2991055456171735
0.9976133651551312,0.2992125984251969
0.9976133651551312,0.2994269340974212
0.9976133651551312,0.30007178750897345
0.9976133651551312,0.30028735632183906
0.9976133651551312,0.30093592512598993
0.9976133651551312,0.3010442924018725
0.9976133651551312,0.30147854309412186
0.9976133651551312,0.30158730158730157
0.9976133651551312,0.30169613857813066
0.9976133651551312,0.30180505415162456
0.9976133651551312,0.3020231213872832
0.9976133651551312,0.30213227322009395
0.9976133651551312,0.3022415039768619
0.9976133651551312,0.3023508137432188
0.9976133651551312,0.30256967064784657
0.9976133651551312,0.30278884462151395
0.9976133651551312,0.30289855072463767
0.9976133651551312,0.30300833635375135
0.9976133651551312,0.30311820159535896
0.9976133651551312,0.3032281465360899
0.9976133651551312,0.30344827586206896
0.9976133651551312,0.30355846042120554
0.9976133651551312,0.303668725027243
0.9976133651551312,0.30377906976744184
0.9976133651551312,0.3038894947291894
0.9976133651551312,0.304
0.9976133651551312,0.3041105856675155
0.9976133651551312,0.30433199854386606
0.9964200477326969,0.3040786598689002
