ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_Detection_Rate>0.5,PBT_QSAR,PBT_Prob_GAT,PBT_Pred_GAT,PBT_Prob_CNN2D,PBT_Pred_CNN2D,PBT_Label,First_PBT_Identification,First_Environmental_and_Human_Detection,Tanimoto_Match_Source,Max_Tanimoto_Similarity,Tanimoto_Match>0.6,Pollutant_Type,SMILES_clean
557,"6-bromo-3-[[1-[(2,4-dibromophenyl)methyl]-2-methylindol-3-yl]methylideneamino]-2-propylquinazolin-4-one",CCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1c(C)n(Cc2ccc(Br)cc2Br)c2ccccc12,C28H23Br3N4O,,126315608,level 3,112,0.5773,0,0,1,1,0.9753326,1,0.9875677,1,0,0,1,Norman_Human metabolites.csv,0.2926829268292683,0,Transformation and metabolic products,CCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1c(C)n(Cc2ccc(Br)cc2Br)c2ccccc12
558,"2-chloro-3-[4-chloro-3-[2,3-dihydroxypropyl(ethyl)sulfamoyl]phenyl]-5-(5-cyclohexylimino-4-methyl-1,3,4-thiadiazol-2-yl)-N-(2,3-dihydroxypropyl)-N-ethylbenzenesulfonamide",CCN(CC(O)CO)S(=O)(=O)c1cc(-c2cc(-c3nn(C)c(=NC4CCCCC4)s3)cc(S(=O)(=O)N(CC)CC(O)CO)c2Cl)ccc1Cl,C31H43Cl2N5O8S3,,70004505,level 3,12,0.0619,0,0,0,0,0.4661669,0,0.01578179,0,1,0,1,Norman_Human metabolites.csv,0.2873563218390804,0,Transformation and metabolic products,CCN(CC(O)CO)S(=O)(=O)c1cc(-c2cc(-c3nn(C)c(=NC4CCCCC4)s3)cc(S(=O)(=O)N(CC)CC(O)CO)c2Cl)ccc1Cl
559,tert-butyl N-[4-[[(2R)-3-(4-chlorophenyl)-1-[4-[cycloheptyl(diethylcarbamoyl)amino]piperidin-1-yl]-1-oxopropan-2-yl]amino]cyclohexyl]carbamate,CCN(CC)C(=O)N(C1CCCCCC1)C1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC2CCC(NC(=O)OC(C)(C)C)CC2)CC1,C37H60ClN5O4,,86614292,level 3,113,0.5825,0,0,1,1,0.4855174,0,0.5680786,1,0,0,1,Industrial_chemical.csv,0.4342105263157895,0,Industry and consumer goods,CCN(CC)C(=O)N(C1CCCCCC1)C1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC2CCC(NC(=O)OC(C)(C)C)CC2)CC1
560,"benzyl (2S,5R,6R)-6-[[2-(4,5-diacetyloxy-2-chlorophenyl)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",CCN1CCN(C(=O)NC(C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)OCc2ccccc2)c2cc(OC(C)=O)c(OC(C)=O)cc2Cl)C(=O)C1=O,C34H36ClN5O11S,,70399765,level 3,14,0.0722,0,0,0,0,0.002140313,0,0.04196592,0,1,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv;Norman_Human neurotoxins.csv;Norman_Pharmaceuticals.csv,0.6046511627906976,1,Pharmaceuticals,CCN1CCN(C(=O)NC(C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)OCc2ccccc2)c2cc(OC(C)=O)c(OC(C)=O)cc2Cl)C(=O)C1=O
561,"4-[5-acetyl-2-(2,4-dichlorophenoxy)phenyl]-N-ethyl-6-methyl-7-oxothieno[2,3-c]pyridine-2-carboxamide",CCNC(=O)c1cc2c(-c3cc(C(C)=O)ccc3Oc3ccc(Cl)cc3Cl)cn(C)c(=O)c2s1,C25H20Cl2N2O4S,,155457873,level 3,1,0.0052,0,0,0,0,0.4461823,0,0.76408565,1,1,0,1,Norman_Pharmaceuticals.csv,0.4078947368421052,0,Pharmaceuticals,CCNC(=O)c1cc2c(-c3cc(C(C)=O)ccc3Oc3ccc(Cl)cc3Cl)cn(C)c(=O)c2s1
562,"(2S)-1-[(2S)-2-[[4-[4-[[[6-chloro-3-(2-phenylethyl)-3,4-dihydro-2H-1,2,4-benzothiadiazin-7-yl]sulfonylamino]methyl]-1,3-oxazol-2-yl]-1-ethoxy-1-oxobutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid",CCOC(=O)C(CCc1nc(CNS(=O)(=O)c2cc3c(cc2Cl)NC(CCc2ccccc2)NS3)co1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,C33H41ClN6O8S2,,70385624,level 3,10,0.0515,0,0,0,0,0.004836313,0,0.90666467,1,1,0,1,Norman_Drinking water chemicals.csv;Norman_Human metabolites.csv;Norman_Human neurotoxins.csv;Norman_Pharmaceuticals.csv,0.5157894736842106,0,Pharmaceuticals,CCOC(=O)C(CCc1nc(CNS(=O)(=O)c2cc3c(cc2Cl)NC(CCc2ccccc2)NS3)co1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
563,"ethyl 4-[4-methoxy-3-[(2,4,6-tribromophenoxy)methyl]phenyl]-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxylate",CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)c(COc2c(Br)cc(Br)cc2Br)c1,C22H21Br3N2O4S,,5110503,level 3,18,0.0928,0,0,0,1,0.9760436,1,0.8561847,1,1,0,1,Industrial_chemical.csv;Norman_Pharmaceuticals.csv,0.546875,0,Pharmaceuticals,CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(OC)c(COc2c(Br)cc(Br)cc2Br)c1
564,"ethyl (2Z)-2-[(5-bromo-2-hydroxy-3-methoxyphenyl)methylidene]-3-oxo-7-phenyl-5-thiophen-2-yl-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3cc(Br)cc(OC)c3O)c(=O)n2C1c1cccs1,C27H21BrN2O5S2,,21234506,level 3,4,0.0206,0,0,0,0,0.8822135,1,0.4531076,0,1,0,1,Norman_Human metabolites.csv,0.3291139240506329,0,Transformation and metabolic products,CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3cc(Br)cc(OC)c3O)c(=O)n2C1c1cccs1
565,ethyl 2-[2-bromo-6-ethoxy-4-[(E)-[(4-nitrophenyl)hydrazinylidene]methyl]phenoxy]acetate,CCOC(=O)COc1c(Br)cc(/C=N/Nc2ccc([N+](=O)[O-])cc2)cc1OCC,C19H20BrN3O6,,125920830,level 3,7,0.0361,0,0,0,0,0.5976119,1,0.94641495,1,1,0,1,Industrial_chemical.csv,0.4838709677419355,0,Industry and consumer goods,CCOC(=O)COc1c(Br)cc(/C=N/Nc2ccc([N+](=O)[O-])cc2)cc1OCC
566,ethyl (3S)-3-[[2-(5-bromo-2-fluorophenyl)-2-[5-[2-(3-fluoroazetidin-1-yl)ethyl]-2-oxo-4-(trifluoromethyl)-1-pyridinyl]acetyl]amino]-3-[5-(2-hydroxy-6-methylphenyl)-2-methylthiophen-3-yl]propanoate,CCOC(=O)C[C@H](NC(=O)C(c1cc(Br)ccc1F)n1cc(CCN2CC(F)C2)c(C(F)(F)F)cc1=O)c1cc(-c2c(C)cccc2O)sc1C,C36H35BrF5N3O5S,,171826095,level 3,9,0.0464,0,0,0,1,0.76581997,1,0.05611944,0,0,0,1,Norman_Pharmaceuticals.csv,0.2616822429906542,0,Pharmaceuticals,CCOC(=O)C[C@H](NC(=O)C(c1cc(Br)ccc1F)n1cc(CCN2CC(F)C2)c(C(F)(F)F)cc1=O)c1cc(-c2c(C)cccc2O)sc1C
