SMILES,Pollutant_Type,Shared_Label
Cc1cc(Cl)c(C(C#N)c2ccc(Cl)cc2)cc1NC(=O)c1cc(I)cc(I)c1O,Industry and consumer goods,0
Cn1nc(OC(F)F)c(I)c1C(=O)Nc1ccc(Cl)c(C(=O)NCC(F)(F)F)c1,Pesticides,0
N/C(=N\OC(=O)c1ccn(COc2ccc(Br)cc2Cl)n1)c1ccc(Cl)cc1Cl,Industry and consumer goods,0
NC(=O)c1c(F)ccc(OCCC(C(=O)O)c2nc(-c3ccc(OC(F)(F)F)cc3)c(Br)o2)c1F,Industry and consumer goods,0
O=C(Nc1c(Br)cc(C(F)(C(F)F)C(F)(F)F)cc1Br)c1cccc([N+](=O)[O-])c1F,Industry and consumer goods,0
O=C(Nc1cc(I)ccc1Cl)c1cc(Br)ccc1I,Industry and consumer goods,0
O=C(OC(C(=O)Nc1cc(Cl)cc(Cl)c1)c1ccccc1)c1cccc(I)c1,Industry and consumer goods,0
O=C1c2ccc(OS(=O)(=O)C(F)(F)F)cc2Oc2c(Cl)cc(C(=O)c3ccccc3O)n2-c2c1[nH]c(Cl)c2Cl,Industry and consumer goods,0
C/C1=C\C=C\[C@@H](C)[C@@]2(O)CC(OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]2(C)[C@@H](OC(=O)[C@H](C)N(C)C(=O)CCCS)CC(=O)N(C)c2cc(cc(C)c2Cl)C1,Industry and consumer goods,0
CC(=O)N1C=CN(C(=O)/C=C\Cl)[C@H](C)[C@H]1c1cc(Cl)cc(-c2cnc(C)nc2)c1,Pharmaceuticals,0
CC(CO)(CO)NCc1cc(Cl)c(OCc2cccc(-c3cccc(OCCCN4CC[C@@H](O)C4)c3Cl)c2Cl)cc1OCc1cc(C#N)ccc1F,Pharmaceuticals,0
CC1(C)C(C=C(Cl)C(F)(F)OCC(F)(F)F)C1(C(=O)[O-])C(C#N)c1cccc(Oc2ccccn2)c1,Pesticides,0
CC1(C)C(N)=N[C@](CF)(c2cc(Nc3ncc(F)c4cc(Cl)cnc34)ccc2F)CS1(O)O,Pharmaceuticals,0
CCN(CC)C(=O)Nc1ccc(S(=O)(=O)N2C(=O)C(N)(c3ccccc3Cl)c3c2ccc(Cl)c3C(CCCCNC(=O)OC(C)(C)C)C(=O)OC)cc1,Industry and consumer goods,0
CCOC(=O)c1c(COCC(=O)O)nc(CO)c(C(=O)O)c1-c1ccccc1Cl,Transformation and metabolic products,0
CCOc1cccc2cc(-c3cc(=O)oc4cc(OCc5c(F)cccc5Cl)ccc34)c(=O)oc12,Transformation and metabolic products,0
CCn1nc(C(=O)NCC2CCC(S(C)(=O)=O)CN2NC(=O)OCc2ccccc2)c(Cl)c1-c1ccc(CC(C)(C)C(F)(F)F)cc1OC(F)F,Industry and consumer goods,0
CN1C(C(=O)Nc2ccc(F)c(Cl)c2)CC(c2cc(-c3cnn(C(F)(F)F)c3)cs2)NS1=O,Transformation and metabolic products,0
CO/N=C(/C(=O)OC)c1ccccc1COc1ccc2c(-c3snc(Cl)c3Cl)c(Cl)c(=O)oc2c1Cl,Pesticides,0
COC(=O)c1scc2c1C(=O)N(c1cc(CN3CCCc4ccccc43)ccc1Cl)C(=O)C2,Industry and consumer goods,0
COCCNC(=S)NNC(=O)c1cc2cc(Br)cc(I)c2o1,Transformation and metabolic products,0
COc1cc2c(cc1Br)[C@H](c1ccccc1)C[C@H](c1ccc(OC)c(OCc3ccccc3)c1)O2,Transformation and metabolic products,0
